date,days_elapsed,Uw,ip,Tair,Twater,amc,ET,Hw,Tw,t,site_plot,Zs,A,dHw,Vw,dt,Qip,QET,dVw,Qg,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
2020-06-04,520,1.4752319999999999,0.025400000000000002,20,18.5,1,0.3951815227879615,0,17.683487041496935,379,OCSP.2,75.18614762,1,0,0,1,2.5400000000000005e-4,0.0039518152278796145,0,0,0.0036978152278796146,0,-0,0.0036978152278796146,0,0
2020-06-05,521,2.414016,0,24.444444444444443,22.055555555555557,1,0.4302149545517242,0,21.434921629634903,380,OCSP.2,75.18614762,1,0,0,1,0,0.004302149545517242,0,0,0.004302149545517242,0,-0,0.004302149545517242,0,0
2020-06-06,522,3.531616,0.3556,21.666666666666668,19.833333333333336,1,0.28716140932794765,0,20.655258614339946,381,OCSP.2,75.18614762,1,0,0,1,0.003556,0.0028716140932794764,0,0,-6.843859067205238e-4,0,-6.843859067205238e-4,0,0,-0.001368771813441048
2020-06-07,523,3.79984,0,16.666666666666668,15.833333333333336,1,0.3816887628711338,0,15.36875315654425,382,OCSP.2,75.18614762,1,0,0,1,0,0.003816887628711338,0,0,0.003816887628711338,0,-0,0.003816887628711338,0,0
2020-06-08,524,2.6375360000000003,0,16.11111111111111,15.38888888888889,1,0.6178037080288717,0,15.257787601447399,383,OCSP.2,75.18614762,1,0,0,1,0,0.0061780370802887175,0,0,0.0061780370802887175,0,-0,0.0061780370802887175,0,0
2020-06-09,525,1.296416,0.127,17.77777777777778,16.72222222222222,1,0.6884002656281442,0,16.37944049305386,384,OCSP.2,75.18614762,1,0,0,1,0.00127,0.006884002656281442,0,0,0.005614002656281441,0,-0,0.005614002656281441,0,0
2020-06-10,526,3.933952,0,20,18.5,1,0.8561763395253228,0,17.03196890560197,385,OCSP.2,75.18614762,1,0,0,1,0,0.008561763395253228,0,0,0.008561763395253228,0,-0,0.008561763395253228,0,0
2020-06-11,527,5.14096,0.2794,22.22222222222222,20.27777777777778,2,0.5629027147586002,0,20.988889608854127,386,OCSP.2,75.18614762,1,0,0,1,0.0027939999999999996,0.0056290271475860024,0,0,0.002835027147586003,0,-0,0.002835027147586003,0,0
2020-06-12,528,4.738624,0,19.444444444444443,18.055555555555557,1,0.5445535110683202,0,15.875159825807735,387,OCSP.2,75.18614762,1,0,0,1,0,0.005445535110683202,0,0,0.005445535110683202,0,-0,0.005445535110683202,0,0
2020-06-13,529,2.68224,0.025400000000000002,11.11111111111111,11.38888888888889,1,0.5537582485045265,0,12.797780566745335,388,OCSP.2,75.18614762,1,0,0,1,2.5400000000000005e-4,0.0055375824850452645,0,0,0.005283582485045265,0,-0,0.005283582485045265,0,0
